,Unnamed: 0,EOM,Item,GOP,Family,After Amount,Action Amount,Source Family,Before Amount,Action,Action predicted
0,0,197001,ACC,0019561CF8DCC36CDBAEF1E31544DBA0,4034457A8B5E7907ADEE5A173D7784FE,0.018000000000000002,0.0,4034457A8B5E7907ADEE5A173D7784FE,0.018000000000000002,0,0
1,1,197001,ACC,0019561CF8DCC36CDBAEF1E31544DBA0,6F8F9A7D011C5002FD330949F1457A4E,0.09000000000000001,0.0,6F8F9A7D011C5002FD330949F1457A4E,0.09000000000000001,0,0
2,2,197001,ACC,0019561CF8DCC36CDBAEF1E31544DBA0,9F67FFC9EDC12F70EDF8440B92D6F38C,-0.054000000000000006,0.0,9F67FFC9EDC12F70EDF8440B92D6F38C,-0.054000000000000006,0,0
3,3,197001,ACC,00600EC28D5626E076B19E73589188B9,6F8F9A7D011C5002FD330949F1457A4E,-0.036000000000000004,0.0,6F8F9A7D011C5002FD330949F1457A4E,-0.036000000000000004,0,0
4,4,197001,ACC,007A729A7CE9562DC67D7300AF90E887,006300EFAF063E1705DD614EA0AE9E8B,0.396,0.0,006300EFAF063E1705DD614EA0AE9E8B,0.396,0,0
5,5,197001,ACC,007A729A7CE9562DC67D7300AF90E887,4034457A8B5E7907ADEE5A173D7784FE,-1.062,0.0,4034457A8B5E7907ADEE5A173D7784FE,-1.062,0,0
6,6,197001,ACC,007A729A7CE9562DC67D7300AF90E887,6F8F9A7D011C5002FD330949F1457A4E,4.716,0.0,6F8F9A7D011C5002FD330949F1457A4E,4.716,0,0
7,7,197001,ACC,007C200BF967F0E72E255F1C72D23D2C,4034457A8B5E7907ADEE5A173D7784FE,-0.7200000000000001,0.0,4034457A8B5E7907ADEE5A173D7784FE,-0.7200000000000001,0,0
8,8,197001,ACC,00803562C99B1184A39A62E78104C43B,4034457A8B5E7907ADEE5A173D7784FE,15.498,0.0,4034457A8B5E7907ADEE5A173D7784FE,15.498,0,0
9,9,197001,ACC,00C6DA52783C3895883863E87852372D,006300EFAF063E1705DD614EA0AE9E8B,5.742000000000001,0.0,006300EFAF063E1705DD614EA0AE9E8B,5.742000000000001,0,0
10,10,197001,ACC,00C6DA52783C3895883863E87852372D,4034457A8B5E7907ADEE5A173D7784FE,0.036000000000000004,0.0,4034457A8B5E7907ADEE5A173D7784FE,0.036000000000000004,0,0
11,11,197001,ACC,00C6DA52783C3895883863E87852372D,6F8F9A7D011C5002FD330949F1457A4E,-1.8359999999999999,0.0,6F8F9A7D011C5002FD330949F1457A4E,-1.8359999999999999,0,0
12,12,197001,ACC,00C7610E2726D7119469378553A033E0,4034457A8B5E7907ADEE5A173D7784FE,0.018000000000000002,0.0,4034457A8B5E7907ADEE5A173D7784FE,0.018000000000000002,0,0
13,13,197001,ACC,00C7610E2726D7119469378553A033E0,6F8F9A7D011C5002FD330949F1457A4E,-3.6719999999999997,0.0,6F8F9A7D011C5002FD330949F1457A4E,-3.6719999999999997,0,0
14,14,197001,ACC,00E099A387E46B6681E536B05F110339,006300EFAF063E1705DD614EA0AE9E8B,-3.15,0.0,006300EFAF063E1705DD614EA0AE9E8B,-3.15,0,0
15,15,197001,ACC,00E099A387E46B6681E536B05F110339,4034457A8B5E7907ADEE5A173D7784FE,0.10800000000000001,0.0,4034457A8B5E7907ADEE5A173D7784FE,0.10800000000000001,0,0
